GEOID,pct_asian_nh__estimate,pct_black_nh__estimate,pct_hispanic__estimate,pct_other_nh__estimate,pct_white_nh__estimate,total_pop__estimate,pct_65plus__estimate,pct_bachelors_plus__estimate,pct_foreign_born__estimate,pct_no_vehicle__estimate,pct_poverty__estimate,pct_rent_burdened__estimate,pct_renter__estimate,pct_snap__estimate,pct_transit_commute__estimate,pct_under18__estimate,pct_unemployed__estimate,pct_vacant__estimate,pop_density__estimate,pct_asian_nh__moe,pct_black_nh__moe,pct_hispanic__moe,pct_other_nh__moe,pct_white_nh__moe,total_pop__moe,pct_65plus__moe,pct_bachelors_plus__moe,pct_foreign_born__moe,pct_no_vehicle__moe,pct_poverty__moe,pct_rent_burdened__moe,pct_renter__moe,pct_snap__moe,pct_transit_commute__moe,pct_under18__moe,pct_unemployed__moe,pct_vacant__moe,pop_density__moe,pct_asian_nh__universe,pct_black_nh__universe,pct_hispanic__universe,pct_other_nh__universe,pct_white_nh__universe,total_pop__universe,pct_65plus__universe,pct_bachelors_plus__universe,pct_foreign_born__universe,pct_no_vehicle__universe,pct_poverty__universe,pct_rent_burdened__universe,pct_renter__universe,pct_snap__universe,pct_transit_commute__universe,pct_under18__universe,pct_unemployed__universe,pct_vacant__universe,pop_density__universe,pct_asian_nh__universe_moe,pct_black_nh__universe_moe,pct_hispanic__universe_moe,pct_other_nh__universe_moe,pct_white_nh__universe_moe,total_pop__universe_moe,pct_65plus__universe_moe,pct_bachelors_plus__universe_moe,pct_foreign_born__universe_moe,pct_no_vehicle__universe_moe,pct_poverty__universe_moe,pct_rent_burdened__universe_moe,pct_renter__universe_moe,pct_snap__universe_moe,pct_transit_commute__universe_moe,pct_under18__universe_moe,pct_unemployed__universe_moe,pct_vacant__universe_moe,pop_density__universe_moe,pct_asian_nh__share,pct_black_nh__share,pct_hispanic__share,pct_other_nh__share,pct_white_nh__share,total_pop__share,pct_65plus__share,pct_bachelors_plus__share,pct_foreign_born__share,pct_no_vehicle__share,pct_poverty__share,pct_rent_burdened__share,pct_renter__share,pct_snap__share,pct_transit_commute__share,pct_under18__share,pct_unemployed__share,pct_vacant__share,pop_density__share,pct_asian_nh__share_moe,pct_black_nh__share_moe,pct_hispanic__share_moe,pct_other_nh__share_moe,pct_white_nh__share_moe,total_pop__share_moe,pct_65plus__share_moe,pct_bachelors_plus__share_moe,pct_foreign_born__share_moe,pct_no_vehicle__share_moe,pct_poverty__share_moe,pct_rent_burdened__share_moe,pct_renter__share_moe,pct_snap__share_moe,pct_transit_commute__share_moe,pct_under18__share_moe,pct_unemployed__share_moe,pct_vacant__share_moe,pop_density__share_moe
1,14537,2410,7024,5220,55608,84799,8631.444412657582,50034.54307535502,18367.992181708603,28596.27864220089,4761.573057402086,10547.945668205404,25649.691287972415,1085.099086832598,20596.335608620997,11345.224906270318,1674.7235087190102,8615.999939112864,49996.3251265043,NA,NA,NA,NA,NA,NA,1119.795407106032,2715.561009263248,1897.8482940606175,1613.9744781972677,1026.6022420373645,1082.4217890064633,1452.6618764371367,326.09542167418425,1854.4018001933043,1310.7966290662914,420.3287296419845,1066.648294756781,NA,84799,84799,84799,84799,84799,0,77122.35837462467,59105.27444294355,77122.35837462467,37621.14201018922,75325.04763085797,25433.690565067343,37621.14201018922,37621.14201018922,50930.570578106606,77122.35837462467,53493.13976718052,46237.14194930208,NA,NA,NA,NA,NA,NA,NA,3609.7712478816966,2904.370721972759,3609.7712478816966,1733.297159563124,3611.1321613240398,44238.5198324282,1733.297159563124,1733.297159563124,2604.7341759188594,3609.7712478816966,2645.5974968102187,1702.5988781879043,NA,17.14289083597684,2.8420146463991323,8.283116546185687,6.155732968549158,65.57624500288918,NA,11.191883384491465,84.65326241510843,23.816688919814162,76.01119241530716,6.321367469605742,41.4723362353586,68.17892790448921,2.8842800320593995,40.440025263480344,14.710682019292607,3.1307257641034902,18.634369634178732,NA,NA,NA,NA,NA,NA,NA,1.3541826922357505,1.950704787562223,2.193851912198345,2.478020225336179,1.3287763376889747,72.26104397777466,2.2455804385629117,0.8565408593799834,2.996604395322339,1.5539165215294546,0.7703556103983625,2.2024952941606517,NA
10,9895,4747,12874,3243,34811,65570,9539.666332310999,37856.79149094679,16587.644599352996,28361.315467818687,7046.082469886513,12136.666958559346,26551.078386362922,3304.511263013104,13414.030730885648,5555.875614593684,2742.5109931312886,6817.959840232115,67043.94238586992,NA,NA,NA,NA,NA,NA,926.5619099909065,1975.6747968954555,1425.5654656784561,1389.6421855357562,934.0760937501414,1152.137487749514,1175.8764476112826,546.8520660824528,1147.5713307130586,827.422893177753,521.2962076364208,818.3943657695263,NA,65570,65570,65570,65570,65570,0,60608.18789199061,50642.55065240671,60608.18789199061,34495.07737962172,59028.64904900588,25942.377148786272,34495.07737962172,34495.07737962172,37705.681064937766,60608.18789199061,41188.69840398572,41313.03721985383,NA,NA,NA,NA,NA,NA,NA,2294.9727717260394,1997.9183329996106,2294.9727717260394,1329.8928766420574,2296.3712709776,36678.782995966794,1329.8928766420574,1329.8928766420574,1823.4064376928145,2294.9727717260394,1863.7105907364705,1252.5950129457501,NA,15.090742717706268,7.239591276498398,19.633978953789843,4.945859386914748,53.089827665090745,NA,15.739896974500486,74.75293207639356,27.36865294325201,82.21844281054837,11.936716464638755,46.78317213936259,76.97063002400515,9.5796603864564,35.57562243149417,9.166873004840152,6.658406551797964,16.50316776263451,NA,NA,NA,NA,NA,NA,NA,1.4078101217536618,2.5538700235545315,2.11148971991946,2.4862641280077384,1.5127413775232226,66.29359170658188,1.6775796967068424,1.541683913396411,2.510597926018513,1.3203352264738892,1.2292467387552672,1.9167235666375584,NA
100,1843,11780,8671,2539,25976,50809,10650,15577,11609,5409,8121,4599,9337,2933,6904,12906,1925,2528,6915.128307005627,NA,NA,NA,NA,NA,NA,857.1901772652321,1179.945761465331,1108.9107267945424,694.2341103691175,1433.5487435033383,655.457855243188,718.0703308172535,442.3844481895809,961.5799498741642,1429.5215982978361,435.5111938859896,409.5790521987178,NA,50809,50809,50809,50809,50809,0,54742,38365,54742,20710,53594,8630,20710,20710,22296,54742,25036,23238,NA,NA,NA,NA,NA,NA,NA,2769.894221807035,1684.609153483383,2769.894221807035,767.7629842601166,2768.034320596477,42749.30055568161,767.7629842601166,767.7629842601166,1461.132779729481,2769.894221807035,1593.037036606494,754.2831033504596,NA,3.627310122222441,23.184868822452714,17.065874156153438,4.9971461748902755,51.12480072428113,NA,19.454897519272222,40.6021112993614,21.20675167147711,26.117817479478514,15.1528156136881,53.29084588644264,45.08450024142926,14.162240463544181,30.96519555077144,23.576047641664534,7.6889279437609845,10.878733109561924,NA,NA,NA,NA,NA,NA,NA,1.217750126911038,2.5061250597208415,1.718155012103793,3.2092898559448804,2.5577786246008487,264.08912158555864,3.0378311795969104,2.070563874126829,3.805560973275113,2.322979237147448,1.669322563297387,1.7268058445804622,NA
101,1710,33092,19922,4439,14213,73376,12775,11202,24453,11910,15793,9687,18259,8496,7744,20641,3269,1105,23777.32073423591,NA,NA,NA,NA,NA,NA,1022.8856241046699,1100.4462731092326,2296.73529166946,922.9274077629291,1992.63142602941,1038.491694718836,1002.6110911016295,780.8232834643188,1049.4369919151889,2235.5214156880716,653.6925883012595,341.6533330731606,NA,73376,73376,73376,73376,73376,0,73195,46249,73195,24699,70566,17303,24699,24699,25810,73195,29836,25804,NA,NA,NA,NA,NA,NA,NA,3894.639906332805,2291.320579927654,3894.639906332805,966.3006778430821,3901.3506635523036,42749.30055568161,966.3006778430821,966.3006778430821,2028.4582815527658,3894.639906332805,2124.9082333126767,942.7730373743195,NA,2.330462276493676,45.09921500218055,27.150566942869602,6.049662014827737,19.370093763628436,NA,17.453377962975612,24.221064239226795,33.40801967347496,48.220575731811,22.380466513618458,55.984511356412185,73.92606988137172,34.39815377140775,30.00387446726075,28.20001366213539,10.956562541895696,4.282281816772594,NA,NA,NA,NA,NA,NA,NA,1.0442734957336317,2.0546409104722665,2.585746133637254,3.225507961051852,2.538257060907768,138.4471326400893,2.8483611372369997,2.8606113476858406,3.312396406844606,2.6601960937108378,2.0472836381381456,1.3147559055397515,NA
102,38802,10224,63623,17119,23075,152843,22781.828195614606,32485.82225070034,76373.37191371965,15880.959761402319,17521.44391529589,12187.332235305978,23410.081053722784,8366.651910901888,31574.648510344443,29780.467615599067,5646.2764294274675,2640.778758722755,32070.861080992683,NA,NA,NA,NA,NA,NA,1275.477139000101,1570.3600656467154,2874.6012626115153,928.1739630853621,1478.5326896691993,927.5860040465622,1059.5114788499209,624.8529078454822,1641.3459674075496,1952.0051237866214,609.789246781169,390.17631533336646,NA,152843,152843,152843,152843,152843,0,147054.5493999611,104734.72321537972,147054.5493999611,46974.67336274733,145830.57453434772,21943.82975891475,46974.67336274733,46974.67336274733,68968.09386767216,147054.5493999611,76317.8090845171,49615.45212147009,NA,NA,NA,NA,NA,NA,NA,4333.942790336711,2919.5776079907682,4333.942790336711,1188.70179903207,4319.519493397667,83520.51591762151,1188.70179903207,1188.70179903207,2414.9264196047943,4333.942790336711,2594.748102064649,1178.1047968188946,NA,25.386834856683002,6.689217039707412,41.62637477673168,11.200382091427151,15.097191235450756,NA,15.492093436465034,31.01724170683632,51.935402356032,33.80749375044407,12.014931691275095,55.538765881807095,49.83553770123254,17.810984754046114,45.78152989254155,20.25130656420681,7.398373324861275,5.322492582063988,NA,NA,NA,NA,NA,NA,NA,0.7374497447028747,1.2249551109541803,1.2158867248215581,1.7810966137473947,0.9493573997907999,211.42862412366367,1.8699984322466519,1.2515066395882481,1.7589741952112738,1.1856553137418362,0.758386383018549,0.7761791365921258,NA
103,31915,40779,31078,14334,2953,121059,16142.317613911027,16610.196651423765,56801.73387315565,13677.23415004737,16249.436620928607,13144.65728755869,21758.198378018133,7438.731140266655,22873.473633583257,24008.76922201095,5680.835931695841,2477.2750624412074,33445.232384676514,NA,NA,NA,NA,NA,NA,1140.5694376837257,1212.3310508684187,2579.2094113258977,896.4073934277037,1535.0694469252498,1051.9476040522802,978.9965339908357,684.4778723859796,1574.3384746874228,1622.9729797090038,629.5074511868856,380.39520373177817,NA,121059,121059,121059,121059,121059,0,107186.63839094581,72947.15172642497,107186.63839094581,33324.400065695234,105690.81727384696,20710.328287882425,33324.400065695234,33324.400065695234,47163.578179861615,107186.63839094581,54006.26017453739,35801.67512813644,NA,NA,NA,NA,NA,NA,NA,3828.5348767549544,2639.216457386013,3828.5348767549544,990.8942495236935,3812.149411820643,63880.38786518946,990.8942495236935,990.8942495236935,2271.8965540511454,3828.5348767549544,2471.1689102811592,945.9257819468285,NA,26.363178284968487,33.685227864099325,25.671779875928266,11.840507521126062,2.4393064538778613,NA,15.060009210322049,22.770178489925538,52.993297229810096,41.04270181333879,15.374501815825685,63.46909186972958,65.29209328637376,22.32217571989908,48.49817277720885,22.3990318032392,10.518847099089106,6.919438974782282,NA,NA,NA,NA,NA,NA,NA,0.918120054928627,1.4433750621124959,1.485715734366343,2.3971705086249817,1.342383697523089,195.83439685147724,2.2048393144175447,1.9437830938160106,2.38426990516304,1.2855257913204259,1.0616061427581636,1.0466600392568688,NA
104,19333,3912,64507,5219,85977,178948,28462.590132065132,43248.784450763356,70312.31021852742,23330.454066543956,20071.982871071355,17601.222648628212,38117.57903003527,8046.206077903852,37093.767369843365,33526.26043210885,6255.443146067843,5343.044423783028,23692.967941463925,NA,NA,NA,NA,NA,NA,1375.2471662886076,1697.7879136887777,2963.961386606762,1084.7330389290728,1849.8573628441902,1064.3861769674245,1193.9182048761932,727.273964861077,1730.3576551354247,1747.5888730788881,734.6754952675141,544.2387643562744,NA,178948,178948,178948,178948,178948,0,176693.5348832861,128627.04753813062,176693.5348832861,65584.01657094288,175504.45284990378,35927.080753628434,65584.01657094288,65584.01657094288,87970.74704113907,176693.5348832861,96550.02012103704,70927.0609947259,NA,NA,NA,NA,NA,NA,NA,4359.112110227853,3080.954178691506,4359.112110227853,1302.930555833558,4346.160852599423,94163.13901940406,1302.930555833558,1302.930555833558,2599.484763702596,4359.112110227853,2809.4135263418802,1256.8869418802246,NA,10.803697163421775,2.1861099313767127,36.04790218387465,2.916489706506918,48.04580101481995,NA,16.10845023326175,33.62339824984519,39.7933689339408,35.57338401393451,11.436737099905645,48.9915191532799,58.12022657807654,12.26854727508217,42.16602520437465,18.97424286307613,6.47896617548696,7.533153564871853,NA,NA,NA,NA,NA,NA,NA,0.6692220899331714,1.045752824871077,1.360180919482366,1.495368271791542,1.0152598270099829,128.4385727666647,1.4074043209490408,1.0818022795752436,1.522004651401505,0.8712638588288277,0.7372033121569562,0.7556203230806221,NA
105,35504,42381,17868,11227,16504,123484,31438.8304266858,35669.177686970805,59503.626688237564,6471.6323155833725,10503.769062625443,5280.393024321551,10425.243028479548,4920.146457408219,15483.555987119302,19951.870248742383,4768.841826037601,2422.5679456042367,16918.866403607037,NA,NA,NA,NA,NA,NA,1626.3367072248352,1796.6073596043395,2842.7055924473593,806.8795028566075,1467.2484109438794,697.4023259644233,849.062792572169,552.5330517854591,1310.8246457070475,1520.8195375621647,561.157639263958,432.3512540660593,NA,123484,123484,123484,123484,123484,0,124467.12748906114,94728.19836142557,124467.12748906114,41122.93797974941,122848.80781566852,9868.243028479548,41122.93797974941,41122.93797974941,57905.8895182963,124467.12748906114,64106.39079747183,43545.505925353646,NA,NA,NA,NA,NA,NA,NA,3913.475317326815,2943.25154693364,3913.475317326815,1129.1019156251768,3892.2585321808215,76379.21852203582,1129.1019156251768,1129.1019156251768,2290.9288699514314,3913.475317326815,2380.223928380365,1127.3599966524332,NA,28.751903080561043,34.32104564154061,14.469890836059733,9.091866152699945,13.365294289138674,NA,25.258741854911708,37.654234223772285,47.80670036228407,15.737281024936166,8.550159541137816,53.50894793614673,25.351406151022957,11.964481866132953,26.739173020089815,16.029831049564365,7.438949169831708,5.563301870363015,NA,NA,NA,NA,NA,NA,NA,1.0375851727205752,1.492753102795647,1.7195350948409824,1.9139465110398473,1.1632255274677474,414.21422203805236,1.943823962807334,1.3028351085525534,2.0013235435483114,1.113071977915149,0.830635927990195,0.9823699957583235,NA
106,27838,17971,30587,27337,25678,129411,24807.357217173478,23207.34463876004,58644.68534655546,7439.971370025867,13392.218376324083,6554.012168970987,12329.67972702295,6814.149423339699,18097.822639697675,26673.192325383476,6102.0226980841835,2252.0822413098194,20804.998589529532,NA,NA,NA,NA,NA,NA,1473.521166513909,1440.873562283895,2804.0938661131313,723.145229418958,1608.3716740804614,714.7813739837169,811.8626919651313,677.21900436496,1219.8043685891892,2057.4905953980387,1038.5227797014086,418.1177584013403,NA,129411,129411,129411,129411,129411,0,130899.93414291303,94308.63532151571,130899.93414291303,39927.21896805413,130004.42693899118,11499.446674337636,39927.21896805413,39927.21896805413,56170.61128060748,130899.93414291303,63895.18387722024,42179.30120936395,NA,NA,NA,NA,NA,NA,NA,4460.643119133694,3007.399329379659,4460.643119133694,1181.5387997058904,4409.4001166794515,66386.70438761046,1181.5387997058904,1181.5387997058904,2309.567195191398,4460.643119133694,2560.28565876626,1165.7635381025834,NA,21.511308930461862,13.886763876331997,23.635548755515373,21.124170279188014,19.842208158502753,NA,18.95139014362641,24.607868155065418,44.80115725843587,18.633833165236496,10.301355647380237,56.99415245428316,30.880386978336656,17.066426361404528,32.219379898302485,20.37678055381021,9.550051080234331,5.339306666393633,NA,NA,NA,NA,NA,NA,NA,0.9220127001182423,1.3109063471149311,1.502707945018738,1.7251762574023752,1.1868047337775296,329.08792528681,1.8164436982782795,1.61920011955074,1.7207184801945705,1.4101108670558773,1.5796637248206482,0.9802410009446391,NA
107,60413,18682,29486,8519,44302,161402,28755.977336931366,47172.53752574038,68325.36384233892,15676.868108763745,17525.374959169272,13242.143794755932,28150.737711145575,8584.664169724167,22149.772663404667,29380.25214568739,5017.5683808971635,3138.1606125990133,21675.009577452933,NA,NA,NA,NA,NA,NA,1533.3982471850327,2240.1227475684013,3161.2629093167657,1254.9891986982145,1950.0728522210968,1115.9105287816897,1387.6526878604093,816.1316589540303,1420.0772699187792,1983.1867067217613,637.9865124926627,497.14247377743504,NA,161402,161402,161402,161402,161402,0,148358.7064051441,104801.63146953263,148358.7064051441,54848.70463968651,143397.36325894733,26473.699405971285,54848.70463968651,54848.70463968651,65987.11066019493,148358.7064051441,73796.05592828934,57986.865252285526,NA,NA,NA,NA,NA,NA,NA,4535.768135164273,3189.929665696271,4535.768135164273,1570.4592217337672,4530.09648469313,73900.763696877,1570.4592217337672,1570.4592217337672,2489.0326089933806,4535.768135164273,2648.194414635506,1532.114681441561,NA,37.43014336873149,11.574825590760957,18.26867077235722,5.278125425955069,27.448234842195266,NA,19.382736634547996,45.011262577008765,46.05416527140186,28.582020690823278,12.221546171335037,50.01999755186876,51.324343748998466,15.651534938005844,33.566816976525025,19.803524078630467,6.799236514445895,5.411847319122539,NA,NA,NA,NA,NA,NA,NA,0.8468272022163026,1.6406823093514922,1.5993466608275582,2.1367329804098016,1.3039489337946084,139.69335919893996,2.0594050683414626,1.4188793795482726,1.7401782087444424,1.1917762108495338,0.829381545315495,0.8453279445270636,NA
