GEOID,total_pop__estimate,median_age__estimate,pct_white_nh__estimate,pct_black_nh__estimate,pct_asian_nh__estimate,pct_hispanic__estimate,pct_other_nh__estimate,pct_under18__estimate,pct_65plus__estimate,pct_foreign_born__estimate,median_hh_income__estimate,pct_poverty__estimate,pct_bachelors_plus__estimate,pct_unemployed__estimate,pct_snap__estimate,pct_transit_commute__estimate,median_gross_rent__estimate,median_home_value__estimate,pct_renter__estimate,pct_rent_burdened__estimate,pct_no_vehicle__estimate,pct_vacant__estimate,pop_density__estimate,total_pop__moe,median_age__moe,pct_white_nh__moe,pct_black_nh__moe,pct_asian_nh__moe,pct_hispanic__moe,pct_other_nh__moe,pct_under18__moe,pct_65plus__moe,pct_foreign_born__moe,median_hh_income__moe,pct_poverty__moe,pct_bachelors_plus__moe,pct_unemployed__moe,pct_snap__moe,pct_transit_commute__moe,median_gross_rent__moe,median_home_value__moe,pct_renter__moe,pct_rent_burdened__moe,pct_no_vehicle__moe,pct_vacant__moe,pop_density__moe,total_pop__universe,median_age__universe,pct_white_nh__universe,pct_black_nh__universe,pct_asian_nh__universe,pct_hispanic__universe,pct_other_nh__universe,pct_under18__universe,pct_65plus__universe,pct_foreign_born__universe,median_hh_income__universe,pct_poverty__universe,pct_bachelors_plus__universe,pct_unemployed__universe,pct_snap__universe,pct_transit_commute__universe,median_gross_rent__universe,median_home_value__universe,pct_renter__universe,pct_rent_burdened__universe,pct_no_vehicle__universe,pct_vacant__universe,pop_density__universe,total_pop__share,median_age__share,pct_white_nh__share,pct_black_nh__share,pct_asian_nh__share,pct_hispanic__share,pct_other_nh__share,pct_under18__share,pct_65plus__share,pct_foreign_born__share,median_hh_income__share,pct_poverty__share,pct_bachelors_plus__share,pct_unemployed__share,pct_snap__share,pct_transit_commute__share,median_gross_rent__share,median_home_value__share,pct_renter__share,pct_rent_burdened__share,pct_no_vehicle__share,pct_vacant__share,pop_density__share,total_pop__share_moe,median_age__share_moe,pct_white_nh__share_moe,pct_black_nh__share_moe,pct_asian_nh__share_moe,pct_hispanic__share_moe,pct_other_nh__share_moe,pct_under18__share_moe,pct_65plus__share_moe,pct_foreign_born__share_moe,median_hh_income__share_moe,pct_poverty__share_moe,pct_bachelors_plus__share_moe,pct_unemployed__share_moe,pct_snap__share_moe,pct_transit_commute__share_moe,median_gross_rent__share_moe,median_home_value__share_moe,pct_renter__share_moe,pct_rent_burdened__share_moe,pct_no_vehicle__share_moe,pct_vacant__share_moe,pop_density__share_moe
3604103,154628,38.9,55515,13595,42742,35884,6892,17383,30496,49385,59411,38685,56767,5841,19576,31802,1412,842700,61209,29175,61050,8583,91725.1289364327,4886,1.3,3219,1690,2267,2077,1196.4656284239845,1699,2067.078372969927,2545,5467,3802,3235.780431364279,773,1345,1917,59,70891,1560,1901.9600416412538,2075.9684487005097,1055,NA,NA,NA,154628,154628,154628,154628,154628,154628,154628,154628,NA,148297,117520,81237,73868,73793,NA,NA,73868,58103,73868,82451,NA,NA,NA,35.90229453915203,8.79206870683188,27.64182424916574,23.20666373489924,4.457148769951108,11.241819075458519,19.72217192229092,31.937941381897197,NA,26.08616492579081,48.304118447923756,7.190073488681266,26.501326690853954,43.09622863957286,NA,NA,82.8626739589538,50.21255356866255,82.64742513673039,10.409819165322434,NA,NA,NA,1.745502366597217,1.0570471933506187,1.1775200083049873,1.1254022214956412,0.7608449158513347,1.0397610359313327,1.1826616949004025,1.3001839264664674,NA,2.414478016792077,2.1459753555435523,0.9100746480609722,1.7036721343408987,1.8720663359356762,NA,NA,0.65084310585983,10.431734613053226,1.9704658094436198,1.259159059337041,NA
3604104,117703,38.4,63131,7976,17400,21103,8093,9647,19115,33577,116564,14001,74422,4764,6645,26734,2667,910300,54324,24454,58247,12756,68284.9866113307,3557,1.2,3399,1424,1737,2148,1301.8805628781774,898,1705.9891558858162,2345,6303,1232,3327.6210721775396,662,1091,2086,142,61643,1978,1791.6110068873768,2167.2713258842327,1248,NA,NA,NA,117703,117703,117703,117703,117703,117703,117703,117703,NA,116070,99559,81080,68730,75279,NA,NA,68730,52848,68730,81486,NA,NA,NA,53.635846155153224,6.776377832340722,14.78297069743337,17.92902474873198,6.875780566340705,8.196052776904581,16.24002786674936,28.526885465960934,NA,12.062548462134918,74.75165479765766,5.875678342377898,9.668267132256657,35.513224139534266,NA,NA,79.03972064600612,46.27232818649713,84.74756292739706,15.654222811280466,NA,NA,NA,2.389978221880668,1.1923673039448246,1.4065039686501857,1.7426449818900842,1.0863797838644722,0.721612749074488,1.3637830215005065,1.7961284138265956,NA,0.9954790499023637,2.2181287242346936,0.7932905012957826,1.560303191021495,2.4495753416412285,NA,NA,1.6088037281792966,10.592368691100726,1.8431075970266337,1.4830705726485074,NA
3604107,221194,42.7,137837,14230,24093,32760,12274,33954,48813,51435,147384,24399,136640,8218,7035,53153,2782,1309200,70300,29772,79764,21878,66506.40774979399,6236,1.1,5313,1665,2423,3430,1907.2128879598104,2631,2387.63858236543,3815,5623,2397,4423.286900032599,1377,931,2766,119,142430,2541,2028.8159108208906,2983.154370796121,1632,NA,NA,NA,221194,221194,221194,221194,221194,221194,221194,221194,NA,216721,175134,126600,108667,116488,NA,NA,108667,67156,108667,130545,NA,NA,NA,62.314981419025834,6.4332667251372095,10.892248433501813,14.810528314511243,5.548975107823901,15.350325958208632,22.06795844371909,23.253343219074658,NA,11.258253699456905,78.02025877328217,6.4913112164296995,6.473906521759136,45.62959274775084,NA,NA,64.6930530887942,44.332598725355886,73.40222882751894,16.75897200199165,NA,NA,NA,1.6379996628031364,0.730555888222038,1.051496124921185,1.493401829090161,0.847924880144126,1.1079331418270781,0.8821014214450588,1.595281940110451,NA,1.0572706294070442,1.4713633289214993,1.065203121468781,0.8401597058832437,1.7565003494201152,NA,NA,1.6301246473818916,8.146935060322312,1.9794186866249626,1.2034352819299463,NA
3604108,211810,41.8,154302,6738,21542,19793,9435,29821,49767,49090,154152,15741,139337,6267,4974,47691,2843,1374500,69749,28590,80254,30346,106951.41438886037,5236,1,4291,1461,2004,2075,1102.6250495975503,1964,2343.0697812912017,2982,7446,2017,4628.091291234433,1053,868,2638,88,101601,2734,2060.1992622074204,3027.093655637367,2304,NA,NA,NA,211810,211810,211810,211810,211810,211810,211810,211810,NA,209363,171186,127090,110965,119106,NA,NA,110965,66763,110965,141311,NA,NA,NA,72.84925168783343,3.181152920069874,10.170435767905198,9.344695717860347,4.454463906331146,14.079127519947123,23.496057787639867,23.176431707662527,NA,7.51852046445647,81.39509072003551,4.9311511527264145,4.482494480241518,40.04080398972344,NA,NA,62.85675663497499,42.82312059074637,72.32370567295995,21.47461981020586,NA,NA,NA,0.9279475668952684,0.6852717500923158,0.9121150426905148,0.9520265983777609,0.5087931898896196,0.8594496223154606,0.9414590146716072,1.286016848873433,NA,0.9449848316903351,1.640829096517724,0.8116861114748899,0.7730483472587333,1.791225689282723,NA,NA,1.8063644448165388,7.972888989270423,1.9299969164045911,1.5815427986491775,NA
3604109,112952,34.9,27525,25306,11812,42675,5634,15988,17024,38755,63429,25132,38560,6803,9603,25756,1713,738200,34372,16815,31808,4837,73846.92933577712,4005,0.9,1697,2274,1254,2708,1064.261715932693,1611,1387.3719760756305,2181,4530,2560,2405.951994533557,997,984,1758,64,61291,1346,1250.6310407150463,1588.094770471838,838,NA,NA,NA,112952,112952,112952,112952,112952,112952,112952,112952,NA,100502,79405,60360,41053,52332,NA,NA,41053,32112,41053,45890,NA,NA,NA,24.368758410652312,22.40420709681989,10.457539485799277,37.781535519512715,4.987959487215808,14.154685176003966,15.071888943976202,34.31103477583398,NA,25.00646753298442,48.561173729614005,11.270709078860172,23.391713151292233,49.21654054880379,NA,NA,83.72591528024749,52.3636023916293,77.48033030472803,10.540422750054478,NA,NA,NA,1.2290797233813209,1.8498879426920511,1.0464540028585507,1.9882825295969373,0.9254770524417545,1.3350471874127343,1.1059324890057474,1.4994431228415417,NA,2.3484048522303156,2.3457527721273355,1.552719073752939,2.285777721855462,2.1483974546508833,NA,NA,2.020719066338441,19.09088734291916,3.042288907996242,1.8083819242091106,NA
3604110,135011,38.7,21322,66545,5521,33359,8264,25877,16857,33228,57391,34943,42175,8471,15518,35383,1381,918800,49085,24252,44992,7294,98481.50733923825,4216,0.8,1795,2873,1161,2844,1229.9345511042447,1757,1319.9439382034375,2864,3653,2968,2196.3412758494524,1132,1106,2216,47,93514,1612,1527.661611745219,1796.7849064370505,780,NA,NA,NA,135011,135011,135011,135011,135011,135011,135011,135011,NA,134342,98981,71393,58715,61475,NA,NA,58715,46415,58715,66009,NA,NA,NA,15.792787254371866,49.28857648636037,4.089296427698484,24.708357096829147,6.120982734740132,19.16658642629119,12.485649317463022,24.611327965869446,NA,26.010480713403105,42.60918762186682,11.865308923844074,26.429362173209572,57.55673037820252,NA,NA,83.59873967469981,52.250350102337606,76.62777825087286,11.050008332197125,NA,NA,NA,1.2346730016091398,1.4694655520803246,0.8503957975904718,1.9601023121043684,0.8907105010956075,1.1555759999677475,0.8965477432326077,1.9771941066360927,NA,2.0523425390337873,1.8506448833757634,1.5059269526557815,1.7322278996964549,2.4440719222995666,NA,NA,1.4347592313367712,13.315401755313475,2.1820430490241236,1.1557499206498347,NA
3604111,127516,38,18594,39113,11637,52220,5952,24867,19757,32432,42218,39594,32294,6774,18118,29899,1306,751600,50353,25878,45763,5457,53667.74902367384,4267,0.9,1516,3040,1812,3122,1461.4834928934367,2089,1666.449519187425,2495,4269,3279,2136.799241856848,790,1325,2244,53,68838,1674,1764.7591903713096,1691.4473092591445,736,NA,NA,NA,127516,127516,127516,127516,127516,127516,127516,127516,NA,124293,92697,59863,55101,51780,NA,NA,55101,47459,55101,60558,NA,NA,NA,14.58169955142884,30.67301358260924,9.125913610840993,40.95172370526052,4.66764954986041,19.501082217133536,15.49374196179303,25.43367106872863,NA,31.855373995317517,34.83823640463014,11.315837829711175,32.881435908604196,57.74237157203554,NA,NA,91.3830964955264,54.5270654670347,83.05293914810983,9.011195878331517,NA,NA,NA,1.0841253469319532,2.1517526065820674,1.3877973522525395,2.0288973501811025,1.1354251253359806,1.5026498563730357,1.1996128691363888,1.7618243346051012,NA,2.3998401781391525,1.9745327999479954,1.2338236665918867,2.1962476503180506,3.3485424452849757,NA,NA,1.3501867387943078,13.683170986318663,1.818023256302821,1.1904279756786198,NA
3604112,197225,39.5,40116,14158,6969,128897,7085,32855,34519,84056,64925,38260,58542,13417,22798,51348,1652,591800,65836,34863,57167,6177,67647.2524407596,5193,0.9,2225,1341,1220,4748,1203.8247380744424,2411,1969.6514920157829,4296,4054,3418,2694.338323225203,1525,1455,2691,32,42018,1729,1977.3039725848932,1810.306603865765,816,NA,NA,NA,197225,197225,197225,197225,197225,197225,197225,197225,NA,194024,148376,108134,75402,91960,NA,NA,75402,63023,75402,81579,NA,NA,NA,20.3402205602738,7.17860311826594,3.5335276967930027,65.3553048548612,3.592343769806059,16.65863861072379,17.50234503739384,42.619343389529725,NA,19.71920999463984,39.4551679516903,12.407753343074333,30.23527227394499,55.83732057416268,NA,NA,87.31333386382325,55.31789981435349,75.81629134505717,7.5718015665796345,NA,NA,NA,0.9929248864354128,0.6531337422714898,0.6115459733849109,1.6835505274290077,0.6030080026409942,1.1410602123203346,0.8859970559030267,1.8669127954911806,NA,1.6802075380106474,1.5224570227992538,1.3586944632623026,1.8088443583538831,2.235942552596818,NA,NA,1.221268625714179,10.53793477487811,1.7100482703195314,0.9899652058099342,NA
3604121,155522,35.8,101733,5984,26282,13205,8318,17870,21682,36174,183457,10957,101083,4892,2637,36693,3501,1561500,53856,22054,60772,18992,52404.871179744885,4442,0.7,3711,1175,2334,1788,1339.3360295310508,1477,1575.558313741513,2383,5051,1553,3480.717598427083,795,506,2228,NA,158700,2177,1524.4989340763739,2320.0797400089505,1617,NA,NA,NA,155522,155522,155522,155522,155522,155522,155522,155522,NA,146499,120339,104538,78563,97752,NA,NA,78563,52317,78563,97555,NA,NA,NA,65.41389642622909,3.8476871439410503,16.89921683105927,8.490760149689432,5.348439449081159,11.49033577243091,13.941435938323838,23.259731742132946,NA,7.479231940149762,83.99853746499473,4.679638026363619,3.3565418835838754,37.53682789098944,NA,NA,68.55135369066863,42.15455779192232,77.35447984420146,19.46799241453539,NA,NA,NA,1.4842642437802878,0.7474846250612517,1.4210151092703012,1.1238078732471009,0.8475304433498653,0.8911978354867527,0.931540559002418,1.3807491602433175,NA,1.0352542129352431,1.107484978382483,0.7454845552098581,0.6362625750981812,1.870116937714624,NA,NA,1.8733973203675605,9.683787780806567,1.8473313851434598,1.591786658503299,NA
3604165,195916,38,122001,9993,33701,18206,12015,17918,37663,51892,154348,19131,130082,6542,5235,38107,3279,1013700,74215,31694,87531,28871,66176.57314505987,5498,0.9,4233,1464,1914,1668,1690.6986721471096,1681,2329.698049104218,2758,7143,2242,4304.244416851812,856,924,1806,94,57683,2952,2214.8295645489293,3497.94568282585,1858,NA,NA,NA,195916,195916,195916,195916,195916,195916,195916,195916,NA,188411,158530,129034,107217,120728,NA,NA,107217,71197,107217,136088,NA,NA,NA,62.2720962044958,5.10065538291921,17.201759937932582,9.292758120827294,6.132730353825108,9.14575634455583,19.224055207333755,26.486861716245738,NA,10.153865750938108,82.0551315208478,5.069981555249004,4.882621226111531,31.564342985885627,NA,NA,69.21943348536146,44.51592061463264,81.63910573882873,21.214949150549643,NA,NA,NA,1.2705767895393931,0.7334214452176537,0.8493515277406944,0.8104622609655298,0.8456357537952451,0.8187346598488316,1.0597113025813825,1.1955130076084448,NA,1.1515238149177325,1.3171109896000404,0.6432572743100567,0.8494714389828004,1.104224486446846,NA,NA,1.8273540711567167,7.812257755440139,2.178043113222908,1.3048030916111606,NA
