GEOID,total_pop__estimate,median_age__estimate,pct_white_nh__estimate,pct_black_nh__estimate,pct_asian_nh__estimate,pct_hispanic__estimate,pct_other_nh__estimate,pct_under18__estimate,pct_65plus__estimate,pct_foreign_born__estimate,median_hh_income__estimate,pct_poverty__estimate,pct_bachelors_plus__estimate,pct_unemployed__estimate,pct_snap__estimate,pct_transit_commute__estimate,median_gross_rent__estimate,median_home_value__estimate,pct_renter__estimate,pct_rent_burdened__estimate,pct_no_vehicle__estimate,pct_vacant__estimate,pop_density__estimate,total_pop__moe,median_age__moe,pct_white_nh__moe,pct_black_nh__moe,pct_asian_nh__moe,pct_hispanic__moe,pct_other_nh__moe,pct_under18__moe,pct_65plus__moe,pct_foreign_born__moe,median_hh_income__moe,pct_poverty__moe,pct_bachelors_plus__moe,pct_unemployed__moe,pct_snap__moe,pct_transit_commute__moe,median_gross_rent__moe,median_home_value__moe,pct_renter__moe,pct_rent_burdened__moe,pct_no_vehicle__moe,pct_vacant__moe,pop_density__moe,total_pop__universe,median_age__universe,pct_white_nh__universe,pct_black_nh__universe,pct_asian_nh__universe,pct_hispanic__universe,pct_other_nh__universe,pct_under18__universe,pct_65plus__universe,pct_foreign_born__universe,median_hh_income__universe,pct_poverty__universe,pct_bachelors_plus__universe,pct_unemployed__universe,pct_snap__universe,pct_transit_commute__universe,median_gross_rent__universe,median_home_value__universe,pct_renter__universe,pct_rent_burdened__universe,pct_no_vehicle__universe,pct_vacant__universe,pop_density__universe,total_pop__universe_moe,median_age__universe_moe,pct_white_nh__universe_moe,pct_black_nh__universe_moe,pct_asian_nh__universe_moe,pct_hispanic__universe_moe,pct_other_nh__universe_moe,pct_under18__universe_moe,pct_65plus__universe_moe,pct_foreign_born__universe_moe,median_hh_income__universe_moe,pct_poverty__universe_moe,pct_bachelors_plus__universe_moe,pct_unemployed__universe_moe,pct_snap__universe_moe,pct_transit_commute__universe_moe,median_gross_rent__universe_moe,median_home_value__universe_moe,pct_renter__universe_moe,pct_rent_burdened__universe_moe,pct_no_vehicle__universe_moe,pct_vacant__universe_moe,pop_density__universe_moe,total_pop__share,median_age__share,pct_white_nh__share,pct_black_nh__share,pct_asian_nh__share,pct_hispanic__share,pct_other_nh__share,pct_under18__share,pct_65plus__share,pct_foreign_born__share,median_hh_income__share,pct_poverty__share,pct_bachelors_plus__share,pct_unemployed__share,pct_snap__share,pct_transit_commute__share,median_gross_rent__share,median_home_value__share,pct_renter__share,pct_rent_burdened__share,pct_no_vehicle__share,pct_vacant__share,pop_density__share,total_pop__share_moe,median_age__share_moe,pct_white_nh__share_moe,pct_black_nh__share_moe,pct_asian_nh__share_moe,pct_hispanic__share_moe,pct_other_nh__share_moe,pct_under18__share_moe,pct_65plus__share_moe,pct_foreign_born__share_moe,median_hh_income__share_moe,pct_poverty__share_moe,pct_bachelors_plus__share_moe,pct_unemployed__share_moe,pct_snap__share_moe,pct_transit_commute__share_moe,median_gross_rent__share_moe,median_home_value__share_moe,pct_renter__share_moe,pct_rent_burdened__share_moe,pct_no_vehicle__share_moe,pct_vacant__share_moe,pop_density__share_moe
36005000100,2950,35.4,924,1281,13,630,102,0,91,268,NA,0,61,0,0,0,NA,NA,0,0,0,0,4527.739793959836,1354,1.2,820,481,21,214,250.71098898931416,14,165.17566406707738,120,NA,14,47.29693436154187,14,14,14,NA,NA,14,28,19.79898987322333,14,NA,NA,NA,2950,2950,2950,2950,2950,2950,2950,2950,NA,0,2650,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,1354,1354,1354,1354,1354,1354,1354,1354,NA,14,1192,14,14,14,NA,NA,14,11425.231157398961,14,14,NA,NA,NA,31.322033898305083,43.42372881355932,0.4406779661016949,21.35593220338983,3.457627118644068,0,3.0847457627118646,9.084745762711865,NA,NA,2.30188679245283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.790208769458314,25.75054959731794,0.6825249609315389,12.194399396356793,8.349190167080637,0.47457627118644063,5.417207889640446,5.8252671190921435,NA,NA,1.4537508650814657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36005000200,5061,39.2,70,1491,362,3066,72,900,753,1960,123729,652,1153,158,351,820,2083,626400,566,134,378,68,28929.47058849073,683,5.2,94,482,379,607,99.69453345093702,263,226.66274506411503,583,13524,401,387.1485503007857,112,141,273,623,61172,241,109.88630487917955,155.3962676514465,64,NA,NA,NA,5061,5061,5061,5061,5061,5061,5061,5061,NA,5061,3509,2591,1416,2433,NA,NA,1416,545,1416,1484,NA,NA,NA,683,683,683,683,683,683,683,683,NA,683,488,479,197,462,NA,NA,197,11425.231157398961,197,198,NA,NA,NA,1.3831258644536653,29.46058091286307,7.1527366133175265,60.58091286307054,1.4226437462951986,17.783046828689983,14.878482513337286,38.727524204702625,NA,12.882829480339854,32.85836420632659,6.09803164801235,24.78813559322034,33.70324702013975,NA,NA,39.97175141242938,24.587155963302752,26.694915254237287,4.5822102425876015,NA,NA,NA,1.8479373398271353,8.654240520808985,7.4261651350544025,8.775402459109987,1.960479945597767,4.609253290839716,4.003288621664121,10.265601666757938,NA,7.730237308488247,10.042201212399997,4.173060871234665,9.341374424429311,9.216616867449376,NA,NA,16.085630940545048,515.832626978355,10.326780830216899,4.269113754958651,NA
36005000400,6649,34.9,111,2056,123,4265,94,1406,935,967,105924,297,1775,280,336,665,2081,558000,882,446,447,37,21660.069065954234,974,5,78,603,114,788,95.78100020358944,440,391.5597017058829,530,38868,181,458.7777239579097,181,309,303,306,118779,331,245.52392958732148,292.0975864330276,46,NA,NA,NA,6649,6649,6649,6649,6649,6649,6649,6649,NA,6649,4804,3324,2218,3044,NA,NA,2218,860,2218,2255,NA,NA,NA,974,974,974,974,974,974,974,974,NA,974,707,595,277,598,NA,NA,277,11425.231157398961,277,280,NA,NA,NA,1.6694239735298542,30.921943149345765,1.849902240938487,64.1449842081516,1.4137464280342908,21.146036998044817,14.062265002255979,14.543540382012333,NA,4.466837118363664,36.94837635303914,8.42358604091456,15.1487826871055,21.846254927726676,NA,NA,39.76555455365194,51.86046511627907,20.153291253381425,1.6407982261640799,NA,NA,NA,1.1473355950469637,7.856791964213228,1.69299279432664,7.222322283988161,1.4255680978857639,5.847767597078195,5.516966498721561,7.681143315116559,NA,2.6424021152809756,7.850649089446891,5.232318230775128,13.802412885875182,8.981271055613329,NA,NA,14.072783745654483,689.5654387021178,12.926666681940072,2.0297118022674687,NA
36005001600,5611,45.5,75,1887,254,3213,182,1057,1215,1883,52147,808,856,246,869,659,1360,709300,1624,1106,999,59,29958.97602597177,602,6.8,53,612,234,614,126.45157175772866,236,348.5641978172744,449,12188,286,294.00340134086883,133,262,289,231,138431,248,279.62474854704834,236.76359517459605,91,NA,NA,NA,5611,5611,5611,5611,5611,5611,5611,5611,NA,5329,3880,2779,2083,2465,NA,NA,2083,1624,2083,2142,NA,NA,NA,602,602,602,602,602,602,602,602,NA,569,496,464,201,436,NA,NA,201,11425.231157398961,201,180,NA,NA,NA,1.3366601318837996,33.6303689181964,4.526822313313135,57.26252004990198,3.2436285867046872,18.837996792015684,21.653894136517554,33.55908037782926,NA,15.162319384499906,22.061855670103093,8.852105073767543,41.71867498799808,26.734279918864097,NA,NA,77.96447431589054,68.10344827586206,47.95967354776764,2.754435107376284,NA,NA,NA,0.9336231768543736,10.293051352295812,4.142002129191609,9.05539625420227,2.2266053054752795,3.6885949400890565,5.761381043211602,7.146356858145289,NA,5.116855323469861,7.033002920121955,4.551953829104393,11.916393939268694,10.728242545360782,NA,NA,9.227772787286762,479.433448534601,10.38168117106439,4.242055830876079,NA
36005001901,2260,35.7,181,945,69,975,90,483,73,537,58083,507,487,150,388,582,2008,NA,1037,618,855,11,28214.09200752683,308,5.6,83,392,84,203,63.474404290233394,154,76.0920495189872,229,19090,167,143.60362112425994,125,133,182,484,NA,150,174.36742815101678,209.15305400591214,19,NA,NA,NA,2260,2260,2260,2260,2260,2260,2260,2260,NA,2258,1655,1417,1149,1234,NA,NA,1149,1003,1149,1160,NA,NA,NA,308,308,308,308,308,308,308,308,NA,308,252,251,117,244,NA,NA,117,11425.231157398961,117,116,NA,NA,NA,8.008849557522124,41.8141592920354,3.0530973451327434,43.14159292035398,3.982300884955752,21.371681415929203,3.230088495575221,23.761061946902654,NA,22.453498671390612,29.425981873111784,10.585744530698658,33.76849434290688,47.163695299837926,NA,NA,90.25239338555265,61.615154536390826,74.41253263707571,0.9482758620689655,NA,NA,NA,3.5066271041970776,16.3823064870928,3.6934509708933776,6.7906934770956635,2.755666754640928,6.160318438321711,3.338003334098447,9.601371446980476,NA,6.731961838428692,7.430614718177401,8.619862702087913,11.052756580432836,11.426177882517322,NA,NA,9.271945542296287,702.0770665707158,16.55101996312457,1.6351837213646465,NA
36005001902,2079,39.3,61,367,0,1059,592,238,66,510,48953,807,208,390,233,427,2041,595000,573,338,337,33,11456.146943939386,359,6.1,46,113,14,355,187.64860777527767,109,57.253820833198546,167,3062,147,99.58915603618699,106,85,175,271,210978,87,126.35663813191613,109.88175462741756,30,NA,NA,NA,2079,2079,2079,2079,2079,2079,2079,2079,NA,2040,1550,1351,624,958,NA,NA,624,547,624,657,NA,NA,NA,359,359,359,359,359,359,359,359,NA,388,283,280,78,247,NA,NA,78,11425.231157398961,78,72,NA,NA,NA,2.9341029341029343,17.65271765271765,0,50.93795093795094,28.475228475228477,11.447811447811448,3.1746031746031744,24.53102453102453,NA,39.55882352941177,13.419354838709678,28.867505551443376,37.33974358974359,44.57202505219207,NA,NA,91.82692307692308,61.79159049360146,54.006410256410255,5.0228310502283104,NA,NA,NA,2.1538119111960787,4.500075153711617,0.6734006734006733,14.635744531785383,7.568971752802627,4.855957438280826,2.6987995163421843,6.8250075147869005,NA,10.4179801217714,5.939607481277111,5.075945078499938,12.79718869427765,14.199524118621706,NA,NA,7.914232235930759,1290.8524172996454,16.263842198250615,4.532910987308709,NA
36005001903,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,14,NA,14,14,14,14,28,14,48.49742261192856,14,NA,14,28,14,14,14,NA,NA,14,28,19.79898987322333,14,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,14,14,14,14,14,14,14,14,NA,14,14,14,14,14,NA,NA,14,11425.231157398961,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36005001904,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,14,NA,14,14,14,14,28,14,48.49742261192856,14,NA,14,28,14,14,14,NA,NA,14,28,19.79898987322333,14,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,14,14,14,14,14,14,14,14,NA,14,14,14,14,14,NA,NA,14,11425.231157398961,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36005002001,4199,34.1,21,1317,0,2573,288,1178,648,592,22311,2155,164,333,1118,684,542,NA,1729,886,1328,24,54811.85094557931,805,4.2,47,402,14,710,210.3568396796263,378,230.42786289856528,226,9749,638,105.74024777727732,177,266,318,190,NA,201,260.4073731675046,193.5071058126807,40,NA,NA,NA,4199,4199,4199,4199,4199,4199,4199,4199,NA,4113,2468,1374,1729,1041,NA,NA,1729,1607,1729,1753,NA,NA,NA,805,805,805,805,805,805,805,805,NA,790,386,359,201,292,NA,NA,201,11425.231157398961,201,195,NA,NA,NA,0.5001190759704691,31.364610621576567,0,61.27649440342939,6.858775899023577,28.054298642533936,15.432245772803048,14.098594903548465,NA,52.39484561147581,6.645056726094003,24.23580786026201,64.66165413533835,65.70605187319885,NA,NA,100,55.133789670192904,76.8074031231926,1.3690815744438105,NA,NA,NA,1.1152001277559749,7.449827679236163,0.3334127173136461,12.161592217333036,4.834044944415428,7.218856449256437,4.6218666829521275,4.65434337682344,NA,11.804150647110673,4.1564859313878015,11.218274653593348,13.423123202903394,24.36121749227307,NA,NA,16.44053938906837,392.31756302751114,6.747592511196535,2.2767147022233516,NA
36005002002,3609,47.5,30,662,98,2803,16,482,1163,1138,18649,1526,320,370,1145,676,353,635400,1406,798,1103,105,45623.9878901666,807,10.7,49,465,173,860,35.552777669262355,258,465.8358079838861,459,6326,644,170.66927081346543,306,470,344,227,33242,473,424.8999882325251,415.2216275677364,113,NA,NA,NA,3609,3609,3609,3609,3609,3609,3609,3609,NA,3551,2981,1642,1808,1241,NA,NA,1808,1406,1808,1913,NA,NA,NA,807,807,807,807,807,807,807,807,NA,807,686,603,466,563,NA,NA,466,11425.231157398961,466,490,NA,NA,NA,0.8312551953449709,18.343031310612357,2.715433638126905,77.66694375173178,0.4433361041839845,13.355500138542533,32.224993072873374,31.532280410085896,NA,42.97381019431146,10.734652801073466,22.53349573690621,63.32964601769911,54.47219983883964,NA,NA,77.76548672566372,56.75675675675676,61.006637168141594,5.4887611082070045,NA,NA,NA,1.3449332467357178,12.214160900139458,4.75496026732727,16.316442072379164,0.9801137205834319,6.495131129619939,10.709043327223231,10.584805721200096,NA,15.281550486784361,5.164874363336488,16.697793204152344,20.232060301906213,12.557149760606148,NA,NA,16.813116777320523,462.19747087696186,16.738636315214663,5.7372051586770025,NA
